order_line_id,order_id,customer_id,product_id,quantity,unit_price,order_ts,status,coupon_code
L0000047,O000030,C00774,P0176,1,152.07,2026-04-19 04:05:52,cancelled,FESTIVE20
L0000048,O000031,C00971,P0171,1,326.12,2026-02-05 19:16:58,completed,SAVE10
L0000049,O000031,C00971,P0008,1,40.16,2026-02-05 19:16:58,completed,
L0000050,O000032,C00473,P0183,2,316.89,2026-02-10 11:38:36,completed,SAVE10
L0000051,O000033,C00073,P0041,3,49.51,2026-03-18 14:25:37,completed,WELCOME15
L0000052,O000034,C00214,P0061,1,211.03,2026-06-19 13:50:27,returned,
L0000053,O000035,C00729,P0114,1,58.18,2026-05-27 15:07:37,returned,WELCOME15
L0000054,O000035,C00729,P0028,1,225.44,2026-05-27 15:07:37,returned,WELCOME15
L0000055,O000036,C00661,P0163,2,51.58,2026-06-02 02:13:52,completed,
L0000056,O000036,C00661,P0116,1,23.68,2026-06-02 02:13:52,completed,WELCOME15
L0000057,O000036,C00661,P0115,1,185.96,2026-06-02 02:13:52,completed,SAVE10
L0000058,O000037,C00814,P0157,-1,310.93,2026-06-10 13:45:58,completed,WELCOME15
L0000059,O000037,C00814,P0076,1,196.15,2026-06-10 13:45:58,completed,
L0000059,O000037,C00814,P0076,1,196.15,2026-06-10 13:45:58,completed,
L0000060,O000038,C00574,P0161,1,340.84,2026-03-04 09:55:01,completed,WELCOME15
L0000061,O000038,C00574,P0112,1,291.53,2026-03-04 09:55:01,completed,
L0000062,O000039,C00193,P0033,1,204.87,2026-05-13 11:53:26,completed,
L0000063,O000039,C00193,P0037,2,50.23,2026-05-13 11:53:26,completed,FESTIVE20
L0000064,O000039,C00193,P0035,1,59.64,2026-05-13 11:53:26,completed,WELCOME15
L0000065,O000040,C00916,P0116,1,23.68,2026-06-20 13:39:11,completed,
L0000066,O000040,C00916,P0155,1,209.56,2026-06-20 13:39:11,completed,FESTIVE20
L0000067,O000041,C00243,P0010,1,47.69,2026-06-17 08:26:59,returned,SAVE10
L0000068,O000042,C00494,P0072,1,27.53,2026-06-03 04:46:46,returned,
L0000069,O000042,C00494,P0157,1,310.93,2026-06-03 04:46:46,returned,FESTIVE20
L0000070,O000042,C00494,P0170,3,144.48,2026-06-03 04:46:46,returned,
L0000071,O000042,C00494,P0139,2,40.11,2026-06-03 04:46:46,returned,
L0000072,O000043,C00926,P0085,1,306.87,2026-03-18 00:30:29,returned,
L0000073,O000043,C00926,P0010,1,47.69,2026-03-18 00:30:29,returned,
L0000074,O000044,C00578,P0075,2,154.23,2026-03-02 20:30:37,completed,
L0000075,O000044,C00578,P0022,1,95.39,2026-03-02 20:30:37,completed,
L0000076,O000045,C00285,P0045,3,26.03,2026-03-05 19:17:17,COMPLETED,
L0000077,O000046,C00379,P0088,-1,162.05,2026-02-09 22:15:31,completed,
L0000078,O000046,C00379,P0040,2,121.0,2026-02-09 22:15:31,completed,WELCOME15
L0000079,O000046,C00379,P0061,1,211.03,2026-02-09 22:15:31,completed,
L0000080,O000047,C00752,P0122,1,57.05,2026-03-02 20:16:48,COMPLETED,
L0000081,O000048,C00723,P0115,1,185.96,2026-04-16 08:09:33,COMPLETED,SAVE10
L0000082,O000048,C00723,P0175,3,210.57,2026-04-16 08:09:33,COMPLETED,
L0000083,O000048,C00723,P0164,1,354.25,2026-04-16 08:09:33,COMPLETED,WELCOME15
L0000084,O000049,C00668,P0119,2,41.62,2026-03-11 08:17:51,completed,
L0000085,O000049,C00668,P0151,2,100.51,2026-03-11 08:17:51,completed,SAVE10
L0000086,O000050,C00185,P0027,1,176.82,2026-03-18 00:43:00,COMPLETED,SAVE10
L0000087,O000051,C00291,P0056,3,30.69,2026-03-07 01:01:39,COMPLETED,
L0000088,O000051,C00291,P0031,1,356.97,2026-03-07 01:01:39,COMPLETED,
L0000089,O000052,C00783,P0170,3,144.48,2026-06-19 05:57:07,cancelled,FESTIVE20
L0000090,O000053,C00284,P0071,2,248.02,2026-04-23 21:49:49,completed,WELCOME15
L0000091,O000053,C00284,P0016,1,30.29,2026-04-23 21:49:49,completed,
L0000092,O000054,C00072,P0197,1,192.41,2026-04-07 19:25:11,cancelled,
L0000093,O000055,C00733,P0005,2,281.95,2026-03-04 01:04:04,returned,
L0000094,O000055,C00733,P0001,3,69.01,2026-03-04 01:04:04,returned,WELCOME15
L0000095,O000056,C00717,P0112,1,291.53,2026-03-13 18:00:32,cancelled,
L0000096,O000057,C00004,P0175,1,210.57,2026-04-23 15:07:36,returned,
L0000097,O000058,C00982,P0197,1,192.41,2026-06-03 11:34:54,completed,
L0000098,O000059,C00041,P0092,1,389.17,2026-04-22 06:19:44,completed,FESTIVE20
L0000099,O000059,C00041,P0036,1,285.22,2026-04-22 06:19:44,completed,
L0000100,O000060,C00608,P0116,3,23.68,2026-02-16 12:04:50,returned,
L0000101,O000061,C00058,P0134,1,116.14,2026-03-26 23:02:25,completed,
L0000102,O000061,C00058,P0060,3,172.56,2026-03-26 23:02:25,completed,
L0000103,O000062,C00501,P0034,1,277.67,2026-06-01 15:58:58,RETURNED,
L0000104,O000062,C00501,P0025,1,279.23,2026-06-01 15:58:58,RETURNED,
L0000105,O000063,C00066,P0110,1,27.62,2026-01-04 15:38:51,returned,WELCOME15
L0000106,O000063,C00066,P0176,1,152.07,2026-01-04 15:38:51,returned,
L0000107,O000064,C00988,P0194,1,250.06,2026-02-25 01:37:11,COMPLETED,SAVE10
L0000108,O000065,C00450,P0005,2,281.95,2026-02-19 01:08:06,cancelled,
L0000108,O000065,C00450,P0005,2,281.95,2026-02-19 01:08:06,cancelled,
L0000109,O000065,C00450,P0046,3,76.23,2026-02-19 01:08:06,cancelled,
L0000110,O000066,C00827,P0062,3,65.53,2026-04-23 04:13:09,cancelled,
L0000111,O000067,C00735,P0061,1,211.03,2026-04-20 02:40:52,completed,
L0000112,O000068,C00884,P0050,1,96.53,2026-05-17 07:29:49,cancelled,
L0000113,O000069,C00992,P0054,1,41.81,2026-04-16 05:10:42,COMPLETED,SAVE10
L0000114,O000070,C00912,P0125,1,163.08,2026-04-02 03:47:03,returned,
L0000115,O000070,C00912,P0185,1,38.0,2026-04-02 03:47:03,returned,SAVE10
L0000116,O000071,C00766,P0106,2,139.53,2026-06-11 07:49:07,completed,WELCOME15
L0000117,O000072,C00076,P0117,1,82.98,2026-04-19 15:03:56,completed,SAVE10
L0000118,O000072,C00076,P0185,1,38.0,2026-04-19 15:03:56,completed,SAVE10
L0000119,O000072,C00076,P0052,1,292.57,2026-04-19 15:03:56,completed,
L0000120,O000073,C00062,P0057,2,22.09,2026-03-05 03:54:29,completed,
L0000121,O000073,C00062,P0164,3,354.25,2026-03-05 03:54:29,completed,
L0000122,O000074,C00567,P0122,2,57.05,2026-02-03 13:54:33,completed,
L0000122,O000074,C00567,P0122,2,57.05,2026-02-03 13:54:33,completed,
L0000123,O000075,C00439,P0152,3,154.47,2026-06-28 07:15:20,completed,
L0000124,O000075,C00439,P0012,1,35.42,2026-06-28 07:15:20,completed,FESTIVE20
L0000125,O000075,C00439,P0130,1,191.99,2026-06-28 07:15:20,completed,WELCOME15
L0000126,O000076,C00818,P0178,2,114.01,2026-06-27 03:28:31,completed,
L0000127,O000076,C00818,P0076,1,196.15,2026-06-27 03:28:31,completed,
L0000128,O000077,C00686,P0117,1,82.98,2026-03-06 22:29:54,returned,
L0000129,O000078,C00416,P0019,1,244.98,2026-02-26 11:40:29,cancelled,SAVE10
L0000130,O000078,C00416,P0076,1,196.15,2026-02-26 11:40:29,cancelled,
L0000131,O000078,C00416,P0157,1,310.93,2026-02-26 11:40:29,cancelled,
L0000132,O000079,C00083,P0014,1,122.93,2026-05-11 23:59:03,returned,SAVE10
L0000133,O000079,C00083,P0011,1,64.02,2026-05-11 23:59:03,returned,
L0000134,O000080,C00722,P0030,1,29.84,2026-01-18 22:49:13,completed,
L0000135,O000081,C00780,P0017,1,53.8,2026-02-11 11:57:17,returned,FESTIVE20
L0000136,O000082,C00540,P0095,2,55.31,2026-01-16 22:34:43,returned,
L0000137,O000083,C00906,P0028,1,225.44,2026-04-03 02:25:57,completed,
L0000138,O000083,C00906,P0128,1,167.67,2026-04-03 02:25:57,completed,
L0000139,O000083,C00906,P0161,1,340.84,2026-04-03 02:25:57,completed,WELCOME15
L0000140,O000083,C00906,P0139,3,40.11,2026-04-03 02:25:57,completed,FESTIVE20
L0000141,O000084,C00455,P0134,1,116.14,2026-06-21 00:18:12,COMPLETED,WELCOME15
L0000142,O000084,C00455,P0168,1,92.75,2026-06-21 00:18:12,COMPLETED,SAVE10
L0000143,O000085,C00682,P0079,1,218.8,2026-06-17 17:28:29,completed,
L0000144,O000085,C00682,P0096,3,267.14,2026-06-17 17:28:29,completed,
L0000145,O000085,C00682,P0073,1,151.58,2026-06-17 17:28:29,completed,
L0000146,O000086,C00165,P0040,1,121.0,2026-06-18 09:11:11,cancelled,
L0000147,O000086,C00165,P0082,1,210.85,2026-06-18 09:11:11,cancelled,FESTIVE20
L0000148,O000087,C00189,P0115,1,185.96,2026-02-18 22:02:42,completed,
L0000149,O000088,C00125,P0190,1,40.05,2026-01-13 15:49:09,completed,SAVE10
L0000150,O000089,C00303,P0087,1,84.18,2026-04-10 18:42:09,returned,FESTIVE20
L0000151,O000089,C00303,P0036,1,285.22,2026-04-10 18:42:09,returned,
L0000152,O000089,C00303,P0103,1,29.93,2026-04-10 18:42:09,returned,
L0000153,O000090,C00095,P0197,1,192.41,2026-03-02 19:41:12,returned,
L0000154,O000090,C00095,P0115,1,185.96,2026-03-02 19:41:12,returned,
L0000155,O000091,C00404,P0093,1,150.84,2026-02-16 10:38:38,returned,WELCOME15
L0000156,O000091,C00404,P0096,1,267.14,2026-02-16 10:38:38,returned,SAVE10
L0000157,O000091,C00404,P0115,2,185.96,2026-02-16 10:38:38,returned,
L0000158,O000092,C00910,P0109,2,21.14,2026-04-24 13:51:28,completed,WELCOME15
L0000159,O000092,C00910,P0151,1,100.51,2026-04-24 13:51:28,completed,
L0000160,O000093,C00487,P0070,1,192.4,2026-05-11 02:59:37,completed,FESTIVE20
L0000161,O000094,C00774,P0078,2,264.4,2026-02-07 05:53:24,completed,
L0000162,O000095,C00758,P0163,1,51.58,2026-04-08 00:50:00,completed,
L0000163,O000095,C00758,P0126,3,107.67,2026-04-08 00:50:00,completed,
L0000164,O000095,C00758,P0196,1,19.53,2026-04-08 00:50:00,completed,
L0000165,O000095,C00758,P0093,1,150.84,2026-04-08 00:50:00,completed,WELCOME15
L0000166,O000096,C00644,P0067,1,24.71,2026-06-16 22:52:07,completed,
L0000167,O000096,C00644,P0119,2,41.62,2026-06-16 22:52:07,completed,
L0000168,O000097,C00055,P0164,3,354.25,2026-03-12 13:40:58,COMPLETED,
L0000169,O000098,C00188,P0078,1,264.4,2026-01-20 05:34:20,completed,SAVE10
L0000170,O000098,C00188,P0149,1,195.12,2026-01-20 05:34:20,completed,
L0000170,O000098,C00188,P0149,1,195.12,2026-01-20 05:34:20,completed,
L0000171,O000099,C00531,P0057,2,22.09,2026-03-12 15:26:21,completed,
L0000172,O000100,C00939,P0036,2,285.22,2026-01-04 04:59:01,completed,SAVE10
L0000173,O000100,C00939,P0078,1,264.4,2026-01-04 04:59:01,completed,
L0000174,O000101,C00878,P0109,1,21.14,2026-06-05 22:14:19,completed,
L0000175,O000101,C00878,P0124,2,28.31,2026-06-05 22:14:19,completed,
L0000176,O000101,C00878,P0009,2,105.65,2026-06-05 22:14:19,completed,
L0000177,O000101,C00878,P0065,1,140.72,2026-06-05 22:14:19,completed,
L0000178,O000102,C00773,P0172,1,290.28,2026-01-26 03:58:38,completed,
L0000179,O000103,C00765,P0130,1,191.99,2026-03-19 11:22:10,returned,
L0000180,O000103,C00765,P0196,1,19.53,2026-03-19 11:22:10,returned,
L0000181,O000104,C00988,P0182,1,160.32,2026-03-06 17:00:46,completed,
L0000182,O000104,C00988,P0028,1,225.44,2026-03-06 17:00:46,completed,SAVE10
L0000183,O000104,C00988,P0109,1,21.14,2026-03-06 17:00:46,completed,
L0000184,O000105,C00780,P0074,1,156.41,2026-03-04 14:07:33,completed,
L0000185,O000106,C00506,P0114,1,58.18,2026-01-13 09:29:38,cancelled,WELCOME15
L0000186,O000106,C00506,P0110,1,27.62,2026-01-13 09:29:38,cancelled,
L0000187,O000106,C00506,P0122,3,57.05,2026-01-13 09:29:38,cancelled,SAVE10
L0000188,O000106,C00506,P0173,1,165.87,2026-01-13 09:29:38,cancelled,
L0000189,O000107,C00536,P0027,2,176.82,2026-06-22 02:07:09,completed,
L0000190,O000107,C00536,P0051,1,83.38,2026-06-22 02:07:09,completed,WELCOME15
L0000191,O000108,C00859,P0194,2,250.06,2026-04-24 15:17:48,cancelled,WELCOME15
L0000192,O000108,C00859,P0171,1,326.12,2026-04-24 15:17:48,cancelled,WELCOME15
L0000193,O000109,C00524,P0035,1,59.64,2026-03-05 14:06:07,completed,
L0000194,O000110,C00511,P0160,1,59.27,2026-06-01 05:24:38,cancelled,
L0000195,O000111,C00533,P0139,1,40.11,2026-04-26 14:12:18,cancelled,
L0000196,O000112,C00033,P0046,1,76.23,2026-04-04 12:28:20,completed,
L0000197,O000113,C00169,P0173,1,165.87,2026-04-14 04:19:45,completed,FESTIVE20
L0000198,O000114,C00875,P0174,1,41.31,2026-02-17 01:25:16,completed,
L0000199,O000115,C00029,P0196,2,19.53,2026-05-02 04:53:23,completed,SAVE10
L0000200,O000115,C00029,P0110,1,27.62,2026-05-02 04:53:23,completed,SAVE10
L0000201,O000116,C00058,P0017,2,53.8,2026-06-08 07:15:41,completed,
L0000202,O000116,C00058,P0006,1,229.55,2026-06-08 07:15:41,completed,
L0000203,O000116,C00058,P0109,1,21.14,2026-06-08 07:15:41,completed,WELCOME15
L0000204,O000117,C00713,P0126,1,107.67,2026-04-19 00:20:24,returned,
L0000205,O000117,C00713,P0129,2,208.4,2026-04-19 00:20:24,returned,SAVE10
L0000206,O000118,C00307,P0074,1,156.41,2026-03-14 06:31:40,completed,
L0000207,O000119,C00412,P0018,1,360.22,2026-02-20 23:05:45,returned,FESTIVE20
L0000208,O000120,C00356,P0052,1,292.57,2026-01-21 09:32:51,completed,
L0000209,O000121,C00465,P0048,1,146.3,2026-06-25 17:11:56,completed,
L0000210,O000122,C00844,P0112,3,291.53,2026-06-15 08:59:40,returned,
L0000211,O000122,C00844,P0094,1,77.96,2026-06-15 08:59:40,returned,
L0000212,O000122,C00844,P0176,2,152.07,2026-06-15 08:59:40,returned,WELCOME15
L0000213,O000123,C00881,P0066,1,27.87,2026-01-21 06:54:26,completed,
L0000214,O000123,C00881,P0030,1,29.84,2026-01-21 06:54:26,completed,
L0000215,O000124,C00848,P0041,1,49.51,2026-03-15 15:35:27,completed,
L0000216,O000125,C00823,P0006,1,229.55,2026-03-22 17:11:41,completed,
L0000217,O000126,C00306,P0036,1,285.22,2026-01-14 11:42:42,completed,
L0000218,O000126,C00306,P0149,3,195.12,2026-01-14 11:42:42,completed,
L0000219,O000126,C00306,P0024,1,119.83,2026-01-14 11:42:42,completed,
L0000220,O000127,C00321,P0056,1,30.69,2026-03-27 18:47:24,cancelled,
L0000221,O000127,C00321,P0071,1,248.02,2026-03-27 18:47:24,cancelled,
L0000222,O000127,C00321,P0015,1,51.65,2026-03-27 18:47:24,cancelled,SAVE10
L0000223,O000128,C00116,P0038,1,94.69,2026-03-18 13:30:43,completed,SAVE10
L0000224,O000128,C00116,P0006,1,229.55,2026-03-18 13:30:43,completed,
L0000225,O000128,C00116,P0170,2,144.48,2026-03-18 13:30:43,completed,
L0000226,O000129,C00808,P0176,1,152.07,2026-06-08 08:35:24,completed,
L0000227,O000129,C00808,P0100,1,93.91,2026-06-08 08:35:24,completed,WELCOME15
L0000228,O000130,C00940,P0042,3,91.44,2026-03-10 02:59:52,completed,SAVE10
L0000229,O000130,C00940,P0197,1,192.41,2026-03-10 02:59:52,completed,
L0000230,O000130,C00940,P0021,2,136.88,2026-03-10 02:59:52,completed,FESTIVE20
L0000231,O000131,C00423,P0130,1,191.99,2026-03-23 13:56:58,completed,WELCOME15
L0000232,O000131,C00423,P0141,2,259.98,2026-03-23 13:56:58,completed,FESTIVE20
L0000233,O000132,C00781,P0103,1,29.93,2026-01-21 20:11:40,completed,
L0000234,O000133,C00085,P0176,1,152.07,2026-01-06 07:33:45,cancelled,SAVE10
L0000235,O000133,C00085,P0189,1,48.25,2026-01-06 07:33:45,cancelled,
L0000236,O000133,C00085,P0084,2,340.02,2026-01-06 07:33:45,cancelled,
L0000237,O000134,C00377,P0143,1,367.99,2026-02-13 12:53:56,returned,
L0000238,O000134,C00377,P0119,1,41.62,2026-02-13 12:53:56,returned,
L0000239,O000134,C00377,P0159,1,319.64,2026-02-13 12:53:56,returned,
L0000240,O000134,C00377,P0095,1,55.31,2026-02-13 12:53:56,returned,
L0000240,O000134,C00377,P0095,1,55.31,2026-02-13 12:53:56,returned,
L0000241,O000135,C00539,P0049,3,328.59,2026-04-25 14:52:43,completed,
L0000242,O000135,C00539,P0127,1,230.01,2026-04-25 14:52:43,completed,WELCOME15
L0000243,O000136,C00615,P0038,1,94.69,2026-02-27 09:46:43,completed,
L0000244,O000137,C00462,P0083,3,184.92,2026-02-12 18:43:41,completed,WELCOME15
L0000245,O000138,C00731,P0014,1,122.93,2026-04-23 13:47:38,COMPLETED,
L0000246,O000138,C00731,P0091,-1,107.19,2026-04-23 13:47:38,COMPLETED,
L0000246,O000138,C00731,P0091,-1,107.19,2026-04-23 13:47:38,COMPLETED,
L0000247,O000139,C00517,P0011,1,64.02,2026-05-13 09:25:42,completed,
L0000248,O000139,C00517,P0127,3,230.01,2026-05-13 09:25:42,completed,FESTIVE20
L0000249,O000139,C00517,P0082,2,210.85,2026-05-13 09:25:42,completed,WELCOME15
L0000250,O000140,C00120,P0073,3,151.58,2026-03-02 04:31:55,completed,
L0000251,O000140,C00120,P0195,3,49.1,2026-03-02 04:31:55,completed,SAVE10
L0000252,O000140,C00120,P0043,1,70.65,2026-03-02 04:31:55,completed,FESTIVE20
L0000253,O000141,C00155,P0059,1,138.44,2026-05-28 21:40:51,COMPLETED,FESTIVE20
L0000254,O000142,C00723,P0182,1,160.32,2026-04-14 03:57:59,COMPLETED,FESTIVE20
L0000255,O000143,C00867,P0044,2,347.14,2026-06-28 04:07:22,completed,
L0000256,O000144,C00680,P0064,2,356.58,2026-05-07 18:00:33,returned,
L0000257,O000144,C00680,P0007,1,27.92,2026-05-07 18:00:33,returned,
L0000258,O000144,C00680,P0152,3,154.47,2026-05-07 18:00:33,returned,
L0000259,O000145,C00158,P0069,1,279.16,2026-01-03 14:53:45,cancelled,
L0000260,O000145,C00158,P0012,1,35.42,2026-01-03 14:53:45,cancelled,FESTIVE20
L0000261,O000146,C00750,P0015,2,51.65,2026-06-26 18:08:13,completed,WELCOME15
L0000262,O000147,C00262,P0073,1,151.58,2026-02-08 12:05:01,completed,
L0000263,O000147,C00262,P0126,2,107.67,2026-02-08 12:05:01,completed,
L0000264,O000148,C00618,P0100,1,93.91,2026-02-12 21:06:53,completed,WELCOME15
L0000265,O000149,C00433,P0119,1,41.62,2026-03-20 05:27:40,completed,
L0000266,O000150,C00540,P0123,1,106.28,2026-06-21 16:05:18,completed,
L0000267,O000150,C00540,P0077,2,255.59,2026-06-21 16:05:18,completed,WELCOME15
L0000268,O000150,C00540,P0013,1,63.73,2026-06-21 16:05:18,completed,
L0000269,O000151,C00523,P0066,1,27.87,2026-04-14 03:29:42,cancelled,
L0000270,O000152,C00678,P0077,1,255.59,2026-04-06 05:53:25,completed,FESTIVE20
L0000271,O000152,C00678,P0116,1,23.68,2026-04-06 05:53:25,completed,
L0000272,O000152,C00678,P0048,1,146.3,2026-04-06 05:53:25,completed,
L0000273,O000153,C00619,P0004,1,89.69,2026-03-28 21:06:27,RETURNED,FESTIVE20
L0000274,O000154,C00415,P0093,1,150.84,2026-06-24 19:46:31,completed,WELCOME15
L0000275,O000154,C00415,P0023,1,383.08,2026-06-24 19:46:31,completed,
L0000276,O000154,C00415,P0005,1,281.95,2026-06-24 19:46:31,completed,
L0000277,O000154,C00415,P0054,1,41.81,2026-06-24 19:46:31,completed,
L0000278,O000155,C00447,P0109,1,21.14,2026-06-28 17:12:05,completed,
L0000279,O000156,C00757,P0146,2,19.04,2026-06-15 15:30:01,completed,WELCOME15
L0000280,O000157,C00009,P0142,-1,33.62,2026-01-21 22:27:26,completed,
L0000281,O000157,C00009,P0125,1,163.08,2026-01-21 22:27:26,completed,FESTIVE20
L0000282,O000158,C00063,P0107,2,232.43,2026-05-01 13:36:20,RETURNED,
L0000283,O000158,C00063,P0166,1,87.18,2026-05-01 13:36:20,RETURNED,WELCOME15
L0000284,O000158,C00063,P0074,2,156.41,2026-05-01 13:36:20,RETURNED,FESTIVE20
L0000285,O000159,C00238,P0184,1,233.55,2026-05-08 18:58:43,completed,
L0000286,O000159,C00238,P0186,2,384.65,2026-05-08 18:58:43,completed,WELCOME15
L0000287,O000159,C00238,P0173,1,165.87,2026-05-08 18:58:43,completed,SAVE10
L0000288,O000160,C00819,P0045,1,26.03,2026-02-20 06:18:44,cancelled,FESTIVE20
L0000289,O000161,C00426,P0067,1,24.71,2026-04-10 07:13:35,completed,
L0000290,O000162,C00881,P0058,1,47.04,2026-05-02 02:21:27,completed,SAVE10
L0000291,O000163,C00788,P0155,1,209.56,2026-01-25 17:17:57,completed,
L0000292,O000163,C00788,P0113,2,319.88,2026-01-25 17:17:57,completed,
L0000293,O000163,C00788,P0157,1,310.93,2026-01-25 17:17:57,completed,
L0000294,O000164,C00043,P0075,2,154.23,2026-05-04 05:40:07,completed,FESTIVE20
L0000295,O000165,C00102,P0107,2,232.43,2026-02-21 11:21:52,completed,
L0000296,O000166,C00829,P0107,1,232.43,2026-04-11 09:32:10,completed,
L0000297,O000166,C00829,P0193,1,294.03,2026-04-11 09:32:10,completed,
L0000298,O000167,C00440,P0038,2,94.69,2026-04-14 14:54:33,cancelled,
L0000299,O000168,C00323,P0165,1,63.33,2026-04-25 05:27:03,completed,
L0000300,O000168,C00323,P0183,2,316.89,2026-04-25 05:27:03,completed,
L0000301,O000169,C00908,P0003,2,41.1,2026-06-23 17:55:19,cancelled,
L0000302,O000169,C00908,P0115,1,185.96,2026-06-23 17:55:19,cancelled,FESTIVE20
L0000303,O000169,C00908,P0167,1,42.41,2026-06-23 17:55:19,cancelled,
L0000304,O000170,C00087,P0139,1,40.11,2026-01-18 10:24:46,cancelled,
L0000305,O000171,C00320,P0067,1,24.71,2026-05-11 20:10:01,completed,
L0000306,O000172,C00518,P0013,2,63.73,2026-01-24 01:53:23,completed,
L0000307,O000173,C00587,P0161,1,340.84,2026-06-01 14:21:15,cancelled,
L0000308,O000173,C00587,P0073,1,151.58,2026-06-01 14:21:15,cancelled,
L0000309,O000174,C00533,P0117,1,82.98,2026-06-08 03:20:33,returned,WELCOME15
L0000310,O000174,C00533,P0021,1,136.88,2026-06-08 03:20:33,returned,WELCOME15
L0000311,O000175,C00488,P0102,2,59.72,2026-02-15 02:23:43,returned,FESTIVE20
L0000312,O000175,C00488,P0113,1,319.88,2026-02-15 02:23:43,returned,FESTIVE20
L0000313,O000176,C00427,P0132,2,269.89,2026-02-05 16:08:31,cancelled,
L0000314,O000176,C00427,P0117,1,82.98,2026-02-05 16:08:31,cancelled,
L0000315,O000176,C00427,P0095,3,55.31,2026-02-05 16:08:31,cancelled,
L0000316,O000176,C00427,P0105,1,242.65,2026-02-05 16:08:31,cancelled,SAVE10
L0000317,O000177,C00042,P0037,1,50.23,2026-05-05 03:23:19,completed,WELCOME15
