product_id,product_name,category,unit_price,unit_cost
P0168,Puzzle 1000pc v5,toys,92.75,59.13
P0169,Puzzle 1000pc v6,toys,60.52,45.0
P0170,Puzzle 1000pc v7,toys,144.48,100.21
P0171,Board Game,toys,326.12,233.87
P0172,Board Game v2,toys,290.28,133.19
P0173,Board Game v3,toys,165.87,88.58
P0174,Board Game v4,toys,41.31,29.71
P0175,Board Game v5,toys,210.57,100.3
P0176,Green Tea 100pk,grocery,152.07,99.36
P0177,Green Tea 100pk v2,grocery,322.68,211.66
P0178,Green Tea 100pk v3,grocery,114.01,70.9
P0179,Green Tea 100pk v4,grocery,117.15,63.7
P0180,Green Tea 100pk v5,grocery,187.3,109.52
P0181,Green Tea 100pk v6,grocery,37.31,24.09
P0182,Almond Butter,grocery,160.32,110.63
P0183,Almond Butter v2,grocery,316.89,171.98
P0184,Almond Butter v3,grocery,233.55,141.8
P0185,Almond Butter v4,grocery,38.0,28.45
P0186,Almond Butter v5,grocery,384.65,189.84
P0187,Almond Butter v6,grocery,358.29,259.81
P0188,Almond Butter v7,grocery,82.45,50.89
P0189,Dark Chocolate,grocery,48.25,33.86
P0190,Dark Chocolate v2,grocery,40.05,18.38
P0191,Dark Chocolate v3,grocery,82.79,61.42
P0192,Trail Mix,grocery,78.39,52.81
P0193,Trail Mix v2,grocery,294.03,188.49
P0194,Trail Mix v3,grocery,250.06,123.93
P0195,Trail Mix v4,grocery,49.1,24.03
P0196,Trail Mix v5,grocery,19.53,14.57
P0197,Trail Mix v6,grocery,192.41,121.54
